# Quicksort
15, 4, 5, 3, 20, 10, 4, 13, 12, 20
4, 5, 3, 10, 4, 13, 12, 15, 20, 20
3, 4, 4, 5, 10, 13, 12, 15, 20, 20
3, 4, 4, 5, 10, 12, 13, 15, 20, 20

4, 1, 19, 16, 20, 14, 5, 1, 13, 17
1, 1, 4, 19, 16, 20, 14, 5, 13, 17
1, 1, 4, 16, 14, 5, 13, 17, 19, 20
1, 1, 4, 14, 5, 13, 16, 17, 19, 20
1, 1, 4, 5, 13, 14, 16, 17, 19, 20

# Mergesort
3, 8, 2, 5, 11, 0, 16, 1, 9, 14
3, 8, 2, 5, 0, 11, 1, 16, 9, 14
2, 3, 5, 8, 9, 14, 0, 1, 11, 16
0, 1, 2, 3, 5, 8, 9, 11, 14, 16

# Selection Sort
0, 17, 1, 2, 13, 19, 6, 7, 15, 20
0, 1, 17, 2, 13, 19, 6, 7, 15, 20
0, 1, 2, 17, 13, 19, 6, 7, 15, 20
0, 1, 2, 6, 17, 13, 19, 7, 15, 20
0, 1, 2, 6, 7, 17, 13, 19, 15, 20
0, 1, 2, 6, 7, 13, 17, 19, 15, 20
0, 1, 2, 6, 7, 13, 15, 17, 19, 20
0, 1, 2, 6, 7, 13, 15, 17, 19, 20
0, 1, 2, 6, 7, 13, 15, 17, 19, 20
0, 1, 2, 6, 7, 13, 15, 17, 19, 20
